,Year,Production,Weighted_VHI,Weighted_Rainfall,Production_Diff,Weighted_VHI_Diff,Weighted_Rainfall_Diff
1,2003,231805.0,0.5275666666666666,219.7023,59410.0,0.2077133333333333,65.15816500000003
2,2004,201744.0,0.5533933333333333,277.65585500000003,-30061.0,0.025826666666666664,57.95355500000002
3,2005,279080.0,0.6596333333333333,371.26574500000004,77336.0,0.10624,93.60989000000001
4,2006,190493.0,0.5490316666666667,256.05957,-88587.0,-0.1106016666666666,-115.20617500000003
5,2007,193379.0,0.4520966666666667,181.593435,2886.0,-0.096935,-74.46613500000001
6,2008,408219.0,0.8682466666666667,412.0597849999999,214840.0,0.41615,230.46634999999992
7,2009,502104.0,0.74516,260.217955,93885.0,-0.12308666666666668,-151.8418299999999
8,2010,604043.3,0.8171583333333334,279.15816,101939.30000000005,0.07199833333333339,18.94020499999999
9,2011,405824.0,0.6433733333333334,187.780105,-198219.30000000005,-0.17378500000000008,-91.37805500000002
10,2012,469649.0,0.6857716666666667,290.41948,63825.0,0.042398333333333316,102.63937500000003
11,2013,436153.0,0.7061083333333334,201.11938500000002,-33496.0,0.02033666666666678,-89.300095
12,2014,559021.0,0.60195,155.26899999999998,122868.0,-0.10415833333333346,-45.850385000000045
13,2015,906348.0,0.557915,229.33442000000002,347327.0,-0.044034999999999935,74.06542000000005
14,2016,950779.0,0.693015,259.192315,44431.0,0.1351,29.857894999999985
15,2017,1011269.0,0.7709433333333334,311.30731499999996,60490.0,0.07792833333333338,52.11499999999995
16,2018,1206587.27,0.694555,234.73534500000002,195318.27000000002,-0.07638833333333339,-76.57196999999994
17,2019,1155730.28,0.5290816666666667,163.57874,-50856.98999999999,-0.16547333333333336,-71.15660500000001
18,2020,1349723.01,0.7927649999999999,423.99309000000005,193992.72999999998,0.26368333333333327,260.41435
19,2021,1382119.93,0.6787483333333334,345.89477000000005,32396.919999999925,-0.11401666666666654,-78.09832
20,2022,1409120.0,0.8262775000000001,474.302135,27000.070000000065,0.1475291666666667,128.40736499999997
